affix,stem,derived_word,ST
-less,noise,noiseless,1.71
-ness,noisy,noisiness,6
-ic,nomad,nomadic,6.29
-ize,normal,normalize,6.29
-ity,notable,notability,6.57
-less,number,numberless,5.14
-ous,number,numerous,5.86
-y,nut,nutty,5.29
-ity,obese,obesity,6.57
-ity,objective,objectivity,5.29
-ly,oblivious,obliviously,6.29
-ist,obscurantism,obscurantist,6.29
-ly,obscure,obscurely,6.29
-able,observe,observable,6.14
-al,obsession,obsessional,6.43
-al,obstetrics,obstetrical,6.43
-al,occasion,occasional,6.29
-ous,odour,odorous,6.14
-able,operate,operable,6.57
-ion,oppress,oppression,6.29
-al,orbit,orbital,6.29
-ic,orgasm,orgasmic,6.29
-ous,outrage,outrageous,4.86
-ion,overcompensate,overcompensation,6.43
-ment,overstate,overstatement,6.29
-ize,oxide,oxidize,5.29
-ist,pacifism,pacifist,6.14
-ion,paginate,pagination,6.43
-ful,pain,painful,6.29
-ic,parabola,parabolic,6.14
-ic,parasite,parasitic,6.57
-ous,parsimony,parsimonious,6.29
-ly,part,partly,5.43
-less,passion,passionless,4.29
-ly,patchy,patchily,6.43
-ist,pathology,pathologist,6.43
-ly,patient,patiently,6.14
-able,pay,payable,5.71
-ful,peace,peaceful,6.71
-ness,peaceful,peacefulness,6.29
-y,pebble,pebbly,6.29
-ic,pedant,pedantic,5.57
-less,peer,peerless,4
-less,penny,penniless,3.57
-al,pentagon,pentagonal,6.57
-ion,perambulate,perambulation,6.14
-ity,perceptible,perceptibility,6
-ity,permeable,permeability,6.43
-ize,personal,personalize,5.14
-ist,pessimism,pessimist,6.43
-ic,phallus,phallic,6.29
-al,phantasm,phantasmal,6.43
-al,phenomenon,phenomenal,6.57
-ous,phosphorus,phosphorous,6.43
-ist,phrenology,phrenologist,6.29
-ist,physiotherapy,physiotherapist,6.14
-ist,piano,pianist,5.71
-y,pith,pithy,4.43
-ful,pity,pitiful,4.43
-ment,place,placement,5.29
-ous,platitude,platitudinous,6
-y,pluck,plucky,3.86
-ity,polar,polarity,3.43
-ness,polite,politeness,6.57
-ous,polyandry,polyandrous,6.14
-ist,polygamy,polygamist,6.14
-ous,polymorph,polymorphous,6.14
-ous,portent,portentous,5.29
-ist,portrait,portraitist,5.57
-al,position,positional,6.14
-ity,posterior,posterity,3.43
-ment,postpone,postponement,6.29
-ful,power,powerful,6.29
-ment,prearrange,prearrangement,6.29
-ion,preclude,preclusion,6.43
-ly,predictable,predictably,6.71
-ly,prejudicial,prejudicially,6.71
-al,preposition,prepositional,6.29
-ize,pressure,pressurize,6.14
-ous,presumption,presumptuous,6.57
-ous,pretence,pretentious,5.43
-ment,procure,procurement,6.14
-able,profit,profitable,6
-ity,profound,profundity,6.29
-ic,prognosis,prognostic,5.71
-ous,promiscuity,promiscuous,6.43
-ize,propaganda,propagandize,5.43
-al,proportion,proportional,6.57
-al,proposition,propositional,6.57
-er,protest,protester,6.14
-able,prove,provable,6
-ly,proximate,proximately,6.14
-ness,prudish,prudishness,6.29
-ist,psychiatry,psychiatrist,6.43
-ic,psychopath,psychopathic,6.14
-ity,public,publicity,6.29
-y,pup,puppy,6.43
-ful,purpose,purposeful,6.14
-less,purpose,purposeless,4.71
-ly,quiet,quietly,6.57
-able,rate,rateable,6
-ic,rationalist,rationalistic,6.29
re-,activate,reactivate,6.14
